STATE,YEAR,NAME,TOPIC,TOPIC #2,Title,RELEVANT TEXT,DESCRIPTION,URL
Michigan,2012,Mich. Comp. Law 286.947 ,Municipal Broadband,,Expenditures; requests for project proposals; determinations; prohibited expenditures; matching funds.,"Sec. 7. (1) Money in the fund shall be expended, upon legislative appropriation, for all of the following: (a) Grants, loans, and loan guarantees to fund projects identified under subsection (3). (b) Administrative expenses of the department in implementing this act. (c) Not more than $250,000.00 of the revenue received during each state fiscal year may be transferred to the nonferrous metallic mineral surveillance fund created in section 63217 of the natural resources and environmental protection act, 1994 PA 451, MCL 324.63217. (2) The department shall solicit requests for project proposals to be funded with money from the fund from individuals, organizations, businesses, local units of government, federally recognized tribes, and educational institutions. (3) The department, with the advice of the board, shall determine which projects should be funded with money from the fund, based on the criteria established by the board under section 6. However, money from the fund shall not be expended for any of the following: (a) Projects that include telecommunication facilities owned or operated by an educational institution or an affiliate, a local unit of government, or any other governmental entity. (b) The construction of telecommunication facilities or wireless telecommunication facilities in areas where broadband service of at least 3 mbps downstream and 768 kbps upstream is available. (4) Grants from the fund may be used to provide matching funds for other available grants, as allowed by law.","States that money from the Rural Development Fund cannot be used for construction of telecommunications facilities operated by an educational institution or affiliate, a unit of local government, or any other governmental entity telecommunications facilities or wireless facilities in areas where broadband service at speeds of at least 3mbps/768kbps is available.",http://www.legislature.mi.gov/(S(okzijcwbzvx4ies2nvyuxh1a))/mileg.aspx?page=getobject&objectname=mcl-286-947&query=on&highlight=broadband 
Michigan,2008,Mich. Comp. Law 445.2025 ,Agency,,"Transfer of powers and duties of department of agriculture relating to biofuels, biogas, and biomass to department of labor and economic growth; transfer of renewable fuels commission from department of agriculture to department of labor and economic growth; transfer of powers and duties of pollution prevention programs unit and field services unit of environmental science and services division relating to energy policy from department of environmental quality to department of labor and economic growth; transfer of energy advisory committee to department of labor and economic growth by type III transfer; transfer of Michigan broadband development authority and its board of directors to Michigan state housing development authority and certain functions to Michigan public service commission; transfer of Michigan superconductor commission to department of labor and economic growth by type III transfer; transfer of certain functions of broadband development authority to department of information technology by type III transfer; renaming department of labor and economic growth as department of energy, labor, and economic growth; rescission of E.O. 2006-14 and E.O. 2003-8.","D. Michigan Broadband Development Authority 1. Except as provided in Section II.D.2 and Section IV, the authority, powers, duties, functions, responsibilities, records, personnel, property, and unexpended balances of appropriations, allocations, or other funds, including, but not limited to, the functions of budgeting and procurement, of the Michigan Broadband Development Authority and the Board of Directors of the Michigan Broadband Development Authority under the Michigan Broadband Development Authority Act, 2002 PA 49, MCL 484.3201 to 484.3225, are transferred to the Michigan State Housing Development Authority. 2. The authority, powers, duties, functions, responsibilities, records, personnel, property, and unexpended balances of appropriations, allocations, or other funds, including, but not limited to, the functions of budgeting and procurement, of the Michigan Broadband Development Authority under Section 7(1)(d) of the Michigan Broadband Development Authority Act, 2002 PA 49, MCL 484.3207(1)(d), are transferred to the Michigan Public Service Commission. The Michigan Public Service Commission shall exercise the authority, powers, duties, functions, and responsibilities transferred under this paragraph independently of the Director of the Department of Labor and Economic Growth. 3. Except for the transfer under Section II.D.1, nothing in this Order shall alter the statutory authority, powers, duties, functions, and responsibilities of the Michigan State Housing Development Authority, which remain with the Authority. All records, property, personnel, monies, and funds of the Authority, including, but not limited to, bonds, notes, reserves, and trust funds, remain under the control of the Authority, subject to any agreements of the Authority with note and bond holders. 4. Upon the completion of the transfer to the Michigan State Housing Development Authority under Section II.D, the Authority shall continue to exercise its legal authority, powers, duties, functions, and responsibilities independently of the Director of the Department of Labor and Economic Growth. The budgeting, procurement, and related management functions of the Authority shall be performed under the direction and supervision of the Director of the Department. When directing and supervising the budgeting, procurement, and related management functions of the Authority, the Director of the Department shall remain cognizant of the rights of the holders of Authority bonds or notes. Certain Authority bond and note contracts may require the Authority to either maintain sufficient personnel or contract for services to plan Authority programs and to supervise enforcement and, where necessary, foreclosure of Authority mortgage agreements. 5. The transfers under Section II.D are subject to any agreement executed prior to the issuance of this Order with note holders, bond holders, or issuers of instruments that are guaranteed. 6. Nothing in this Order shall be construed to affect the status of moneys of the Michigan State Housing Development Authority. Moneys of the Authority are not moneys of this state. State funds appropriated to the Authority lose their identity as state funds upon payment to the Authority and become public funds of the Authority solely under the control of the Authority. Funds established by the Authority are public trust funds administered by the Authority. 7. Nothing in this Order shall be construed to impair the obligation of any bond or note issued by the Michigan State Housing Development Authority. Bonds and notes issued by the Authority are obligations of the Authority and not obligations of this state.","Transfers the authority, functions, and funds of the Michigan Broadband Development Authority, as established under the Michigan Broadband Development Authority Act, 2002 PA 49, Mich. Comp. Law 484.3201 to 484.3225 to the Michigan State Housing Development Authority.  Transfers the authorities of the Michigan Broadband Development Authority under Section 7(1)(d) of the Michigan Broadband Development Authority Act, 2002 PA 49, MCL 484.3207(1)(d) to the Michigan Public Service Commission (“(d) To be designated the state program manager for federal telecommunications assistance, to represent this state in negotiations with the federal government regarding telecommunications assistance, and to receive and distribute federal funding, including loans, grants, and other forms of funding and assistance on this state's behalf”). ",http://www.legislature.mi.gov/(S(okzijcwbzvx4ies2nvyuxh1a))/mileg.aspx?page=getobject&objectname=mcl-445-2025&query=on&highlight=broadband 
Michigan,2011,Mich. Comp. Law 484.2102 ,Definition - Broadband,Speed 1,Definitions.,"(c) ""Broadband service"" means a retail service capable of transmitting data over an access line at a rate greater than 200 kilobits per second.",Defines broadband service as retail service capable of transmitting data over an access line at speeds greater than 200kbps. ,http://www.legislature.mi.gov/(S(okzijcwbzvx4ies2nvyuxh1a))/mileg.aspx?page=getobject&objectname=mcl-484-2102&query=on&highlight=broadband#top 
Michigan,2011,Mich. Comp. Law. 484.2401 ,Regulatory Authority,,Unregulated services generally,"Sec. 401. (1) Except as otherwise provided by law or preempted by federal law, the commission does not have authority over enhanced services, paging, cellular, mobile, answering services, retail broadband service, video, cable service, pay-per-view, shared tenant, private networks, financial services networks, radio and television, WATS, personal communication networks, municipally owned telecommunication system, 800 prefix services, burglar and fire alarm services, energy management services, except for state institutions of higher education the reselling of centrex or its equivalent, payphone services, interconnected voice over internet protocol service, and the reselling of an unlicensed telecommunication service. The services listed in this subsection shall not be considered part of basic local exchange service. (2) The commission has authority over the telecommunication services specifically provided for in this act. (3) This section does not modify or affect either of the following: (a) The authority of a provider or the commission to act pursuant to or enforce 47 USC 251, 47 USC 252, any lawful and applicable tariff, or any state law, regulation, or order related to wholesale rights and obligations, including the rights and obligations of local exchange carriers to interconnect and exchange voice traffic. (b) The payment of switched access rates or other intercarrier compensation rates, as applicable.",States that Public Service Commission does not have authority over retail broadband services.,http://www.legislature.mi.gov/(S(okzijcwbzvx4ies2nvyuxh1a))/mileg.aspx?page=getobject&objectname=mcl-484-2401&query=on&highlight=broadband 
Michigan,2014,Mich. Comp. Laws 484.3102 ,Definition - Broadband,Speed 1,Definitions.,"(b) ""Broadband internet access transport services"" means the broadband transmission of data between an end-user and the end-user's internet service provider's point of interconnection at a speed of 200 or more kilobits per second to the end-user's premises.",Defines broadband internet access transport services as the transmission of data between the end-user and the end-user’s internet service provider’s point of interconnection at speeds greater than 200kibps to the end-user’s premise. ,http://www.legislature.mi.gov/(S(okzijcwbzvx4ies2nvyuxh1a))/mileg.aspx?page=getobject&objectname=mcl-484-3102&query=on&highlight=broadband 
Michigan,2002,Mich. Comp. Law 484.3108 ,Rights-of-way,ROW - Other,Maintenance fee," (21) The authority may grant to a provider a waiver of the fee requirement of this section for telecommunication facilities located in underserved areas as identified by the authority if 2/3 of the affected municipalities approve the granting of a waiver. If a waiver is granted under this subsection, the amount of the waived fees shall be deducted from the fee revenue the affected municipalities would otherwise be entitled under sections 11 and 12. A waiver granted under this subsection shall not be for more than 10 years. As used in this subsection, “underserved area” means that term as defined under section 7 of the Michigan broadband development authority act.",Addresses the maintenance fee for space occupied by the provider in the public right-of-way to be collected by the Metropolitan Authority and disbursed to each municipality.  A waiver may be granted to a provider providing service in unserved areas with the approval of 2/3 of municipalities and the waived fee will be deducted from the fee revenue the municipality would otherwise be entitled to.,http://www.legislature.mi.gov/(S(qxsuzzup1a4fgx14mqiuu1p2))/mileg.aspx?page=getObject&objectName=mcl-484-3108&highlight=broadband 
Michigan,2002,Mich. Comp. Law 484.3108 ,Tax Incentives,,Maintenance fee,"(14) A provider may apply to the commission for a determination of the maximum amount of credit available under section 13b(5) of 1905 PA 282, MCL 207.13b. Each application shall include sufficient documentation to permit the commission to accurately determine the allowable credit. Except as otherwise provided under subsection (15), the commission shall issue its determination within 45 days from the date of the application. Upon certification by the commission of the documentation provided in subdivisions (a) and (b), a provider shall qualify for a credit equal to the costs paid under this act, less the amount of any credit determined under section 13b(1) of 1905 PA 282, MCL 207.13b, and shall not be subject to subsection (16) if the provider files the following documentation under this subsection: (a) Verification of the costs paid by the provider under this act. (b) Verification that the provider's rates and charges for basic local exchange service, including revenues from intrastate subscriber line or end-user line charges, do not exceed the commission's approved rates and charges for those services. (15) If the commission finds that it cannot make a determination based on the documentation required under subsection (14), it may require the provider to file its application under section 203 of the Michigan telecommunications act, 1991 PA 179, MCL 484.2203. (16) The maximum credit allowed under subsection (14) or (15) shall be the lesser of the following: (a) The costs paid under this act, less the amount of any credit determined under section 13b(1) of 1905 PA 282, MCL 207.13b. (b) The amount that the costs paid under this act, together with the provider's total service long run incremental cost of basic local exchange service, exceeds the provider's rates for basic local exchange service plus any additional charges of the provider used to recover its total service long run incremental cost for basic local exchange service. “Total service long run incremental cost” means that term as defined in section 102 of the Michigan telecommunications act, 1991 PA 179, MCL 484.2102. (17) The tax credit allowed under subsections (14) and (15) shall be the sole method of recovery for the costs required under this act. A provider shall not recover the costs required under this act through rates and charges to the end-users for telecommunication services.",Allows a provider to apply to the Public Service Commission for a determination of the maximum amount of credit available under section 13b(5) of Mich. Comp. Law 207.13b. Addresses application requirements and timeline for determination by the Commission. Defines the maximum credit that can be claimed. ,http://www.legislature.mi.gov/(S(qxsuzzup1a4fgx14mqiuu1p2))/mileg.aspx?page=getObject&objectName=mcl-484-3108&highlight=broadband 
Michigan,2002,Mich. Comp. Law 484.3114 ,Municipal Broadband,,Telecommunication or cable modem service through broadband internet access transport service; requirements; exceptions; violation; complaint.,"Sec. 14. (1) Except as otherwise provided by subsection (2), a county, municipality, or an affiliate, shall comply with all of the following requirements: (a) Before the passage of any ordinance or resolution authorizing a county or municipality to either construct telecommunication facilities or provide a telecommunication or cable modem service provided through a broadband internet access transport service, a county or municipality shall conduct at least 1 public hearing. A notice of the public hearing shall be provided as required by law. (b) Not less than 30 days before the hearing required under subdivision (a), the county or municipality shall prepare reasonable projections of at least a 3-year cost-benefit analysis. This analysis shall identify and disclose the total projected direct costs of and the revenues to be derived from constructing the telecommunication facilities and providing the telecommunication or cable modem service through a broadband internet access transport service. The costs shall be determined by using accounting standards developed under the uniform budgeting and accounting act, 1968 PA 2, MCL 141.421 to 141.440a. (c) A county or municipality shall prepare and maintain accounting records in accordance with accounting standards developed under the uniform budgeting and accounting act, 1968 PA 2, MCL 141.421 to 141.440a. The accounting records required under this subdivision are subject to the freedom of information act, 1976 PA 442, MCL 15.231 to 15.246. (d) Charges for telecommunication service and cable modem services provided through a broadband internet access transport service shall include all of the following: (i) All capital costs attributable to the provision of the service. (ii) All costs attributable to the provision of the service that would be eliminated if the service was discontinued. (iii) The proportionate share of costs identified with the provision of 2 or more county or municipal services including telecommunication services. (e) A county or municipality that provides a telecommunication service or cable modem service provided through a broadband internet access transport service shall not adopt an ordinance or a policy that unduly discriminates against another person providing the same service. Subject to other requirements of this section, this subsection shall not be construed as precluding a county or municipality from establishing rates different from those of another person providing the same service. (f) In providing a telecommunication or cable modem service provided through a broadband internet access transport service, a municipality shall not employ terms more favorable or less burdensome than those imposed by the municipality upon other providers of the same service within its jurisdiction concerning access to public rights-of-ways. (g) A municipality shall not impose or enforce against a provider any local regulation with respect to public rights-of-way that is not also applicable to the municipality in its provision of a telecommunication or cable modem service provided through a broadband internet access transport service. (h) In providing a telecommunication or a cable modem service provided through a broadband internet access transport service, a municipality shall not employ terms more favorable or less burdensome than those imposed by the municipality upon other providers of the same service within its jurisdiction concerning access to and rates for pole attachments. (2) Subsection (1) does not apply to either of the following: (a) Telecommunication facilities constructed and operated by a county, municipality, or an affiliate, to provide telecommunication service or a cable modem service provided through a broadband internet access transport service that is not provided to any residential or commercial premises. (b) Telecommunication facilities that are owned or operated by a county, municipality, or an affiliate for compensation, and that are located within the territory served by the county, municipality or its affiliate that provided a telecommunications service or a cable modem service provided through broadband internet access transport service before December 31, 2001 or that allowed any third party to use the county's or municipality's telecommunication facilities for compensation before December 31, 2001, to provide such a service. (3) If a complaint is filed under section 18 alleging a violation of this section, the commission shall allow a county or municipality to take reasonable steps to correct a violation found by the commission before the commission imposes any penalties. (4) The commission, in reviewing a complaint under subsection (3), shall consider, in determining whether charges imposed by a county or municipality are in compliance with subsection (1), the applicable federal, state, county, and local taxes and fees paid by the complainant or providers serving that county or municipality.",Addresses provision of telecommunications or cable model service through broadband internet access transport.  Requires a local government to hold at least one public hearing before adopting an ordinance or resolution allowing the local government to construct facilities or provide services and to prepare a 3-year cost-benefit analysis with projected directs costs and revenues at least 30 days prior to the hearing.  Requires that terms for rights-of-way access and pole attachments not be less burdensome or more favorable towards the municipality than towards other providers.  ,http://www.legislature.mi.gov/(S(qxsuzzup1a4fgx14mqiuu1p2))/mileg.aspx?page=getObject&objectName=mcl-484-3114&highlight=broadband 
Michigan,2005,Mich. Comp. Law 484.2252,Municipal Broadband,,Telecommunication services offered by public entity.,"Sec. 252. (1) A public entity may provide telecommunication services within its boundaries if the public entity has complied with the requirements of section 14 of the metropolitan extension telecommunications right-of-way oversight act, 2002 PA 48, MCL 484.3114, and all of the following apply: (a) The public entity has issued a request for competitive sealed bids to provide telecommunication services. (b) The public entity has received less than 3 qualified bids from private providers. (c) It is more than 60 days from the date the request for bids was issued. (d) The public entity is providing the telecommunication services under the same terms and conditions as required under the request for bids issued pursuant to subdivision (a). (2) Except as provided under subsection (3), a public entity shall not provide telecommunication services outside its boundaries. (3) Two or more public entities may jointly request bids under subsection (1) and provide telecommunication services if all participating public entities meet the requirements of this section. If a public entity does not receive a qualified bid as required under subsection (1), the public entity may contract with another public entity to receive telecommunication services. (4) A public entity shall not establish a board or other entity for the purpose of providing regulation of a private provider of services under this section. (5) This section does not apply to all of the following: (a) Public safety systems. (b) Systems used only for the internal use of the public entity or for the sharing of information between the public entity and another public entity. (c) A public entity that is currently providing telecommunication services or that has held a public hearing by November 1, 2005 on a proposal to provide telecommunication services, or has issued a request for bids by November 1, 2005 to provide telecommunication services, or has an enforceable contract to begin construction of a telecommunication system by November 1, 2005. (d) A public entity that is currently providing service in another public entity's boundaries. (e) Services offered by a public entity to the public within a facility owned and operated by the public entity. (f) Systems or services used or offered by 1 or more public entities or consortiums to advance or promote the public health, safety, and provision of e-government services. (6) This section may not be construed to prevent a municipally-owned utility from providing to its energy customers, either directly or indirectly, any energy related service involving the transfer or receipt of information or data concerning the use, measurement, monitoring, or management of energy services provided by the municipally-owned utility, including services such as load management or automated meter reading. (7) As used in this section, ""public entity"" means a county, city, village, township, or any agency or subdivision of the public entity.","Allows a public entity to provide telecommunications services within its boundaries if it has complied with the requirements of Mich. Comp. Law 484.3114 and met the requirements of this section, which include issuing a request for competitive sealed bids to provide telecommunications services and receiving less than three qualified bids from private providers in a 60-day timeframe and providing services only within the public entity’s boundaries.  Allows two or more public entities to jointly request bids and allows a public entity to contract with another public entity if no bids are received. ",http://www.legislature.mi.gov/(S(hnofhliahu5w2aavdnao1pt4))/mileg.aspx?page=getObject&objectName=mcl-484-2252 
Michigan,2018,Executive Order No. 2018 - 2,Task Force,,Charge to the Consortium,"The Consortium shall act in an advisory capacity to the Governor, and the state of Michigan, and shall, by August 1, 2018, solidify a vision for a connected Michigan, along with a roadmap to guide the state’s goal of ubiquitous broadband access.",Creates the Michigan Consortium of Advanced Networks to develop a roadmap for broadband expansion.,https://content.govdelivery.com/attachments/MIGOV/2018/01/29/file_attachments/950258/Executive.Order.2018-2.pdf
Michigan,2017,"PA 618 of 2018, Sec. 806 (uncodified)",Definition - Broadband,Speed 2,Section 806,(b) “Broadband service” means a retail terrestrial service capable of delivering high-speed internet access at speeds of at least 10 megabits per second downstream and 1 megabit per second upstream.,Defines broadband service as 10/1,https://www.legislature.mi.gov/documents/2017-2018/publicact/htm/2018-PA-0618.htm
Michigan,2017,"PA 618 of 2018, Sec. 806 (uncodified)",Fund - Broadband,,Section 806,"The 1-time funds appropriated in part 1 for statewide broadband shall be awarded by the department to applicants as grants for projects that exclusively extend broadband service into unserved areas in Michigan and for the department’s costs to administer the facilitation of the grant and related reports. The 1-time funds shall not be directly or indirectly awarded to a governmental entity or educational institution or an affiliate, to own, purchase, construct, operate, or maintain a communications network, or to provide service to any residential or commercial premises. An award of the 1-time funds by the department may not as a condition of the award impose an open network architecture requirement, rate regulation, or other terms or conditions of service that differ from the applicant’s terms and conditions of service in its other service areas. As a condition of an award, an applicant shall not obtain financing from any other government grants, loans, or subsidies that is offered to support deployment of broadband service in the same unserved areas. The department shall not award more than $5,000,000.00 of the 1-time funds to any 1 project.",Creates rules for a one-time broadband expansion funding program.,https://www.legislature.mi.gov/documents/2017-2018/publicact/htm/2018-PA-0618.htm
Minnesota,2013,Minn. Stat. 116J.39.1,Definition - Broadband,FCC,Definitions,"""Broadband"" or ""broadband service"" means any service providing advanced telecommunications capability and Internet access with transmission speeds that, at a minimum, meet the Federal Communications Commission definition for broadband.",Defines broadband as any service providing advanced telecommunications capability at speeds defined by the FCC.,https://www.revisor.mn.gov/statutes/cite/116J.39
Minnesota,2013,Minn. Stat. 116J.39.2,Broadband Office,,Office established; purpose.,"(a) An Office of Broadband Development is established within the Department of Employment and Economic Development and shall remain in existence until the commissioner certifies that the state has met the broadband goals established in section 237.012. The director shall be appointed by the governor and shall serve in the unclassified service. The director must be qualified by experience and training in broadband. The office may employ staff necessary to carry out the office's duties under subdivision 4. (b) The purpose of the office is to encourage, foster, develop, and improve broadband within the state in order to: (1) drive job creation, promote innovation, and expand markets for Minnesota businesses; (2) serve the ongoing and growing needs of Minnesota's education systems, health care system, public safety system, industries and businesses, governmental operations, and citizens; and (3) improve accessibility for underserved communities and populations.","Establishes an office of Broadband Development within the Department of Employment and Economic Development, with a director to be appointed by the governor.  Defines purpose of the office.",https://www.revisor.mn.gov/statutes/cite/116J.39
Minnesota,2013,Minn. Stat. 116J.39.4,Broadband Office,,Duties,"(a) The office shall have the power and duty to: (1) serve as the central broadband planning body for the state of Minnesota; (2) coordinate with state, regional, local, and private entities to develop, to the maximum extent practicable, a uniform statewide broadband access and usage policy; (3) develop, recommend, and implement a statewide plan to encourage cost-effective broadband access, and to make recommendations for increased usage, particularly in rural and other underserved areas; (4) coordinate efforts, in consultation and cooperation with the commissioner of commerce, local units of government, and private entities, to meet the state's broadband goals in section 237.012; (5) develop, coordinate, and implement the state's broadband infrastructure development program under section 116J.391; (6) provide consultation services to local units of government or other project sponsors in connection with the planning, acquisition, improvement, construction, or development of any broadband deployment project; (7) encourage public-private partnerships to increase deployment and adoption of broadband services and applications, including recommending funding options and possible incentives to encourage investment in broadband expansion; (8) monitor the broadband development efforts of other states and nations in areas such as business, education, public safety, and health; (9) consult with the commissioner of commerce to monitor broadband-related activities at the federal level, including regulatory and policy changes and the potential impact on broadband deployment and sustainability in the state; (10) serve as an information clearinghouse for federal programs providing financial assistance to institutions located in rural areas seeking to obtain access to high-speed broadband service, and use this information as an outreach tool to make institutions located in rural areas that are unserved or underserved with respect to broadband service aware of the existence of federal assistance; (11) provide logistical and administrative support for the Governor's Broadband Task Force; (12) provide an annual report, as required by subdivision 5; (13) coordinate an ongoing collaborative effort of stakeholders to evaluate and address security, vulnerability, and redundancy issues in order to ensure the reliability of broadband networks; and (14) perform any other activities consistent with the office's purpose.","Defines the duties of the Office of Broadband Development, including to serve as the central broadband planning body, to coordinate with broadband stakeholders to develop a statewide broadband access and useage policy, to develop and implement a statewide broadband plan, to provide technical assistance to local governments, and to encourage P3s.  Also includes monitoring federal activity in consultation with the commissioner of commerce and serving as a clearinghouse for federal programs.  Does not provide any regulatory authority or oversight.",https://www.revisor.mn.gov/statutes/cite/116J.39
Minnesota,2013,Minn. Stat. 116J.39.5,Broadband Office,,Reporting,"(a) Beginning January 15, 2014, and each year thereafter, the Office of Broadband Development shall report to the legislative committees with jurisdiction over broadband policy and finance on the office's activities during the previous year. (b) The report shall contain, at a minimum: (1) an analysis of the current availability and use of broadband, including average broadband speeds, within the state; (2) information gathered from schools, libraries, hospitals, and public safety facilities across the state, determining the actual speed and capacity of broadband currently in use and the need, if any, for increases in speed and capacity to meet current or anticipated needs; (3) an analysis of incumbent broadband infrastructure within the state and its ability to spur economic development; (4) an analysis of the degree to which new, additional, or improved broadband infrastructure would spur economic development in the state;",Requires an annual report from the Office of Broadband Development to the legislative committees with jurisdiction over broadband with an analysis of current broadband availability (including speeds) and the impacts that additional broadband deployment would have on economic development.,https://www.revisor.mn.gov/statutes/cite/116J.39
Minnesota,2013,Minn. Stat.116J.391.2,Rights-of-way,Dig Once,Broadband infrastructure development,"(a) The office shall, in collaboration with the Department of Transportation and private entities, encourage and coordinate ""dig once"" efforts for the planning, relocation, installation, or improvement of broadband conduit within the right-of-way in conjunction with any current or planned construction, including, but not limited to, trunk highways and bridges. To the extent necessary, the office shall, in collaboration with the Department of Transportation, evaluate engineering and design standards, procedures and criteria for contracts or lease agreements with private entities, and pricing requirements, and provide for allocation of risk, costs, and any revenue generated. (b) The office shall, in collaboration with other state departments and agencies as the office deems necessary, develop a strategy to facilitate the timely and efficient deployment of broadband conduit or other broadband facilities on state-owned lands and buildings. (c) To the extent practicable, the office shall encourage and assist local units of government to adopt and implement policies similar to those under paragraphs (a) and (b) for construction or other improvements to county state-aid highways, municipal state-aid roads, and any other rights-of-way under the local unit of government's jurisdiction, and to other lands or buildings owned by the local unit of government.","Requires the Office of Broadband Development to work with the Department of Transportation to coordinate ""dig once"" efforts in conjunction with planned construction on state rights-of-way; collaborate with other state departments to facilitate conduit deployment on state-owned lands; and work with local governments to adopt ""dig-once"" policies for local rights-of-way.",https://www.revisor.mn.gov/statutes/cite/116J.391
Minnesota,2016,Minn Stat.116J.394 (h),Definition - Underserved,,Definitions,"(h) ""Underserved areas"" means areas of Minnesota in which households or businesses lack access to wire-line broadband service at speeds of at least 100 megabits per second download and at least 20 megabits per second upload.",Defines underserved area as areas lacking wireline serice at speeds of 100/20.,https://www.revisor.mn.gov/statutes/cite/116J.394
Minnesota,2016,Minn. Stat. 116J.394 (i),Definition - Unserved,,Definitions,"(i) ""Unserved areas"" means areas of Minnesota in which households or businesses lack access to wire-line broadband service, as defined in section 116J.39.",Defines unserved areas as areas lacking serice at the statutorily defined broadband speeds (FCC definition).,https://www.revisor.mn.gov/statutes/cite/116J.394
Minnesota,2016,Minn. Stat. 116J.395,Fund - Broadband,,Border-To-Border Broadband Development Grant Program,A grant program is established under the Department of Employment and Economic Development to award grants to eligible applicants in order to promote the expansion of access to broadband service in unserved or underserved areas of the state.,Establishes a broadband grant program to support expansion of middle- and last- mile infrastructure with speeds scaleable to 100/100. Defines eligible applicants and the application process. Grants awarded to a single project cannot exceed $5million or fund more than 50% of project cost.,https://www.revisor.mn.gov/statutes/cite/116J.395
Minnesota,2014,Minn Stat. 116J.396,Fund - Broadband,,Border-To-Border Broadband Fund,"The border-to-border broadband fund account is established as a separate account in the special revenue fund in the state treasury. The commissioner shall credit to the account appropriations and transfers to the account. Earnings, such as interest, dividends, and any other earnings arising from assets of the account, must be credited to the account. Funds remaining in the account at the end of a fiscal year are not canceled to the general fund, but remain in the account until expended. The commissioner shall manage the account.","Establishes a special revenue fund in the state treasury to be used for the purposes of the Border-to-Border Broadband Grant program, supplementing revenue raised by bonds sold by local governments to support broadband infrastructure deployment, and contracting for broadband data collection.",https://www.revisor.mn.gov/statutes/cite/116J.396
Minnesota,2016,Minn. Stat. 116J.397,Mapping,,Updated Broadband Deployment Data and Maps,"(a) Beginning in 2016 and continuing each year thereafter, the Office of Broadband Development shall contract with one or more independent organizations that have extensive experience working with Minnesota broadband providers to: (1) collect broadband deployment data from Minnesota providers, verify its accuracy through on-the-ground testing, and create state and county maps available to the public by April 15, 2017, and each April 15 thereafter, showing the availability of broadband service at various upload and download speeds throughout Minnesota; (2) analyze the deployment data collected to help inform future investments in broadband infrastructure; and (3) conduct business and residential surveys that measure broadband adoption and use in the state.","Requires the Office of Broadband Development to contract with an independent organization to work with broadband providers to collect and verify data, analyze data to inform future investments, and conduct surveys to measure broadband adoption and use.",https://www.revisor.mn.gov/statutes/cite/116J.397
Minnesota,2016,Minn. Stat. 116J.398,Other,,Broadband Prevailing Wage Exemption,"Notwithstanding any other law to the contrary, section 116J.871 does not apply to a project receiving a grant under section 116J.395 for the construction, installation, remodeling, and repair of last-mile infrastructure, as defined under section 116J.394, paragraph (e).",Exempts projects receiving funding from the Border-to-Border grant program for last mile infrastructure from the prevailing wage. ,https://www.revisor.mn.gov/statutes/cite/116J.398
Minnesota,2013,Minn. Stat. 161.462 ,Rights-of-way,Dig Once,Fiber Collaboration Database,The purpose of the fiber collaboration database is to provide broadband providers with advance notice of upcoming Department of Transportation construction projects so that they may notify the department of their interest in installing broadband infrastructure within the right-of-way during construction in order to minimize installation costs.,"Creates a fiber collaboration database to give broadband providers advance notice of DOT construction projects, allowing providers to install infrastructure in the rights-of-way during construction to minimize costs.  Requires the DOT to maintain a list of upcoming projects in the statewide TIP on its website, including location, and estimated dates of construction. ",https://www.revisor.mn.gov/statutes/cite/161.462
Minnesota,2016,Minn Stat. 237.012.1,Goal,,Universal access and high-speed goal.,"It is a state goal that: (1) no later than 2022, all Minnesota businesses and homes have access to high-speed broadband that provides minimum download speeds of at least 25 megabits per second and minimum upload speeds of at least three megabits per second; and (2) no later than 2026, all Minnesota businesses and homes have access to at least one provider of broadband with download speeds of at least 100 megabits per second and upload speeds of at least 20 megabits per second.","Creates the goal that by 2022, all MN businesses and homes will have broadband access at speeds of 25/3 and by 2026, all MN business and homes will have speeds of 100/20.",https://www.revisor.mn.gov/statutes/cite/237.012
Minnesota,2016,Minn Stat. 237.012.2,Goal,,State broadband leadership position.,"It is a goal of the state that by 2022 and thereafter, the state be in: (1) the top five states of the United States for broadband speed universally accessible to residents and businesses; (2) the top five states for broadband access; and (3) the top 15 when compared to countries globally for broadband penetration.","Creates the goal of establishing MN as a broadband leader, in the top 5 nationally for broadband access and top 15 globally for broadband penetration. ",https://www.revisor.mn.gov/statutes/cite/237.012
Minnesota,2010,Minn. Stat. 237.681,IA - Other,,Private Shared Services ,"A property owner shall establish a single demarcation point for services and facilities provided by a telephone company providing local exchange service in the area that is mutually agreeable to the property owner, commercial shared services provider, and the telephone company. The obligation of a telephone company to provide service to a customer at a location where private shared services are operating is limited to providing telephone company service and facilities up to the demarcation point established for the property where the private shared services are operating. The property owner may not (1) impose unreasonable restrictions on access to the demarcation point on the premises by a telephone company or (2) discriminate against or in favor of an occupant in any manner, including charging the occupant higher or lower rental charges, because of the occupant's choice of telephone company.",Addresses requirements for properties where private shared services (defined to include broadband) are operating.  Property owners cannot impose unreasonable restrictions on access to the premises by a telephone company or charge occupants higher or lower rent because of their choice of telephone company. ,https://www.revisor.mn.gov/statutes/cite/237.681 
